line	generation	transgene	condition	photoperiod	pot_size	culture	rosette	cauline
0T	NA	no	cabinet	LD	9x9	25262	13	NA
0T	NA	no	cabinet	LD	9x9	25262	12	3
0T	NA	no	cabinet	LD	9x9	25262	13	4
0T	NA	no	cabinet	LD	9x9	25262	15	4
0T	NA	no	cabinet	LD	9x9	25262	13	3
0T	NA	no	cabinet	LD	9x9	25262	13	4
0T	NA	no	cabinet	LD	9x9	25262	14	4
0T	NA	no	cabinet	LD	9x9	25262	14	3
0T	NA	no	cabinet	LD	9x9	25262	14	3
0T	NA	no	cabinet	LD	9x9	25262	13	3
0T	NA	no	cabinet	LD	9x9	25262	12	3
0T	NA	no	cabinet	LD	9x9	25262	13	4
ft.10	NA	no	cabinet	LD	9x9	25262	36	NA
ft.10	NA	no	cabinet	LD	9x9	25262	40	NA
ft.10	NA	no	cabinet	LD	9x9	25262	36	NA
ft.10	NA	no	cabinet	LD	9x9	25262	34	9
ft.10	NA	no	cabinet	LD	9x9	25262	40	NA
ft.10	NA	no	cabinet	LD	9x9	25262	39	NA
ft.10	NA	no	cabinet	LD	9x9	25262	33	NA
ft.10	NA	no	cabinet	LD	9x9	25262	42	NA
ft.10	NA	no	cabinet	LD	9x9	25262	47	NA
ft.10	NA	no	cabinet	LD	9x9	25262	40	NA
ft.10	NA	no	cabinet	LD	9x9	25262	36	9
ft.10	NA	no	cabinet	LD	9x9	25262	33	7
2.15	T3	yes	cabinet	LD	9x9	25262	30	5
2.15	T3	yes	cabinet	LD	9x9	25262	33	6
2.15	T3	yes	cabinet	LD	9x9	25262	33	NA
2.15	T3	yes	cabinet	LD	9x9	25262	29	6
2.15	T3	yes	cabinet	LD	9x9	25262	31	NA
3.15	T3	no	cabinet	LD	9x9	25262	17	3
3.15	T3	no	cabinet	LD	9x9	25262	18	NA
3.15	T3	no	cabinet	LD	9x9	25262	15	NA
3.15	T3	no	cabinet	LD	9x9	25262	18	NA
3.15	T3	no	cabinet	LD	9x9	25262	19	NA
3.15	T3	no	cabinet	LD	9x9	25262	16	NA
3.27	T3	no	cabinet	LD	9x9	25262	15	4
3.27	T3	no	cabinet	LD	9x9	25262	17	4
3.27	T3	no	cabinet	LD	9x9	25262	19	4
3.27	T3	no	cabinet	LD	9x9	25262	15	3
3.27	T3	no	cabinet	LD	9x9	25262	19	3
3.27	T3	no	cabinet	LD	9x9	25262	19	4
4.27	T3	yes	cabinet	LD	9x9	25262	33	NA
4.27	T3	yes	cabinet	LD	9x9	25262	32	NA
4.27	T3	yes	cabinet	LD	9x9	25262	33	NA
4.27	T3	yes	cabinet	LD	9x9	25262	33	NA
4.27	T3	yes	cabinet	LD	9x9	25262	29	NA
4.27	T3	yes	cabinet	LD	9x9	25262	34	NA
2.15	T4	yes	cabinet	LD	9x9	25262	32	5
2.15	T4	yes	cabinet	LD	9x9	25262	26	7
2.15	T4	yes	cabinet	LD	9x9	25262	32	5
2.15	T4	yes	cabinet	LD	9x9	25262	29	6
2.15	T4	yes	cabinet	LD	9x9	25262	26	6
2.15	T4	yes	cabinet	LD	9x9	25262	29	5
2.15	T4	yes	cabinet	LD	9x9	25262	30	5
2.15	T4	yes	cabinet	LD	9x9	25262	33	6
2.15	T4	yes	cabinet	LD	9x9	25262	33	NA
2.15	T4	yes	cabinet	LD	9x9	25262	24	5
2.15	T4	yes	cabinet	LD	9x9	25262	29	6
2.15	T4	yes	cabinet	LD	9x9	25262	26	5
3.15	T4	no	cabinet	LD	9x9	25262	14	NA
3.15	T4	no	cabinet	LD	9x9	25262	15	3
3.15	T4	no	cabinet	LD	9x9	25262	15	3
3.15	T4	no	cabinet	LD	9x9	25262	16	4
3.15	T4	no	cabinet	LD	9x9	25262	16	3
3.15	T4	no	cabinet	LD	9x9	25262	13	3
3.15	T4	no	cabinet	LD	9x9	25262	19	NA
3.15	T4	no	cabinet	LD	9x9	25262	16	3
3.15	T4	no	cabinet	LD	9x9	25262	15	5
3.15	T4	no	cabinet	LD	9x9	25262	15	3
3.15	T4	no	cabinet	LD	9x9	25262	15	3
3.15	T4	no	cabinet	LD	9x9	25262	12	2
3.27	T4	no	cabinet	LD	9x9	25262	14	3
3.27	T4	no	cabinet	LD	9x9	25262	21	NA
3.27	T4	no	cabinet	LD	9x9	25262	14	3
3.27	T4	no	cabinet	LD	9x9	25262	16	4
3.27	T4	no	cabinet	LD	9x9	25262	13	3
3.27	T4	no	cabinet	LD	9x9	25262	14	2
3.27	T4	no	cabinet	LD	9x9	25262	14	3
3.27	T4	no	cabinet	LD	9x9	25262	16	3
3.27	T4	no	cabinet	LD	9x9	25262	15	NA
3.27	T4	no	cabinet	LD	9x9	25262	13	2
3.27	T4	no	cabinet	LD	9x9	25262	14	4
3.27	T4	no	cabinet	LD	9x9	25262	16	3
4.27	T4	yes	cabinet	LD	9x9	25262	38	NA
4.27	T4	yes	cabinet	LD	9x9	25262	33	NA
4.27	T4	yes	cabinet	LD	9x9	25262	30	NA
4.27	T4	yes	cabinet	LD	9x9	25262	26	6
4.27	T4	yes	cabinet	LD	9x9	25262	26	5
4.27	T4	yes	cabinet	LD	9x9	25262	28	7
4.27	T4	yes	cabinet	LD	9x9	25262	27	NA
4.27	T4	yes	cabinet	LD	9x9	25262	33	NA
4.27	T4	yes	cabinet	LD	9x9	25262	24	6
4.27	T4	yes	cabinet	LD	9x9	25262	30	6
4.27	T4	yes	cabinet	LD	9x9	25262	26	NA
4.27	T4	yes	cabinet	LD	9x9	25262	34	7
0T	NA	no	greenhouse	LD	9x9	23643	8	2
0T	NA	no	greenhouse	LD	9x9	23643	10	1
0T	NA	no	greenhouse	LD	9x9	23643	9	3
0T	NA	no	greenhouse	LD	9x9	23643	9	3
0T	NA	no	greenhouse	LD	9x9	23643	8	3
0T	NA	no	greenhouse	LD	9x9	23643	11	3
0T	NA	no	greenhouse	LD	9x9	23643	9	3
0T	NA	no	greenhouse	LD	9x9	23643	9	2
0T	NA	no	greenhouse	LD	9x9	23643	10	2
0T	NA	no	greenhouse	LD	9x9	23643	8	2
0T	NA	no	greenhouse	LD	9x9	23643	8	1
0T	NA	no	greenhouse	LD	9x9	23643	9	2
2.15	T3	yes	greenhouse	LD	9x9	23643	28	5
2.15	T3	yes	greenhouse	LD	9x9	23643	26	4
2.15	T3	yes	greenhouse	LD	9x9	23643	29	4
2.15	T3	yes	greenhouse	LD	9x9	23643	28	4
2.15	T3	yes	greenhouse	LD	9x9	23643	27	5
2.15	T3	yes	greenhouse	LD	9x9	23643	27	4
2.15	T3	yes	greenhouse	LD	9x9	23643	27	4
2.15	T3	yes	greenhouse	LD	9x9	23643	29	5
2.15	T3	yes	greenhouse	LD	9x9	23643	27	4
2.15	T3	yes	greenhouse	LD	9x9	23643	23	3
2.15	T3	yes	greenhouse	LD	9x9	23643	29	4
2.15	T3	yes	greenhouse	LD	9x9	23643	28	5
3.15	T3	no	greenhouse	LD	9x9	23643	12	2
3.15	T3	no	greenhouse	LD	9x9	23643	11	2
3.15	T3	no	greenhouse	LD	9x9	23643	17	3
3.15	T3	no	greenhouse	LD	9x9	23643	11	1
3.15	T3	no	greenhouse	LD	9x9	23643	16	2
3.15	T3	no	greenhouse	LD	9x9	23643	16	1
3.15	T3	no	greenhouse	LD	9x9	23643	13	1
3.15	T3	no	greenhouse	LD	9x9	23643	9	2
3.15	T3	no	greenhouse	LD	9x9	23643	23	4
3.15	T3	no	greenhouse	LD	9x9	23643	11	3
3.15	T3	no	greenhouse	LD	9x9	23643	14	2
3.15	T3	no	greenhouse	LD	9x9	23643	12	3
3.27	T3	no	greenhouse	LD	9x9	23643	12	3
3.27	T3	no	greenhouse	LD	9x9	23643	8	2
3.27	T3	no	greenhouse	LD	9x9	23643	9	2
3.27	T3	no	greenhouse	LD	9x9	23643	11	2
3.27	T3	no	greenhouse	LD	9x9	23643	11	2
3.27	T3	no	greenhouse	LD	9x9	23643	11	2
3.27	T3	no	greenhouse	LD	9x9	23643	8	4
3.27	T3	no	greenhouse	LD	9x9	23643	9	3
3.27	T3	no	greenhouse	LD	9x9	23643	13	1
3.27	T3	no	greenhouse	LD	9x9	23643	12	2
3.27	T3	no	greenhouse	LD	9x9	23643	10	3
3.27	T3	no	greenhouse	LD	9x9	23643	11	2
4.27	T3	yes	greenhouse	LD	9x9	23643	31	4
4.27	T3	yes	greenhouse	LD	9x9	23643	27	1
4.27	T3	yes	greenhouse	LD	9x9	23643	31	5
4.27	T3	yes	greenhouse	LD	9x9	23643	30	4
4.27	T3	yes	greenhouse	LD	9x9	23643	28	5
4.27	T3	yes	greenhouse	LD	9x9	23643	32	4
4.27	T3	yes	greenhouse	LD	9x9	23643	33	4
4.27	T3	yes	greenhouse	LD	9x9	23643	28	4
4.27	T3	yes	greenhouse	LD	9x9	23643	28	4
4.27	T3	yes	greenhouse	LD	9x9	23643	28	4
4.27	T3	yes	greenhouse	LD	9x9	23643	29	5
4.27	T3	yes	greenhouse	LD	9x9	23643	26	4
0T	NA	no	greenhouse	LD	9x9	23659	12	3
0T	NA	no	greenhouse	LD	9x9	23659	12	2
0T	NA	no	greenhouse	LD	9x9	23659	12	2
0T	NA	no	greenhouse	LD	9x9	23659	12	2
0T	NA	no	greenhouse	LD	9x9	23659	12	2
ft.10	NA	no	greenhouse	LD	9x9	23659	38	8
ft.10	NA	no	greenhouse	LD	9x9	23659	39	7
ft.10	NA	no	greenhouse	LD	9x9	23659	38	7
ft.10	NA	no	greenhouse	LD	9x9	23659	37	7
ft.10	NA	no	greenhouse	LD	9x9	23659	37	NA
1.6	T3	yes	greenhouse	LD	9x9	23659	29	5
1.6	T3	yes	greenhouse	LD	9x9	23659	27	5
1.6	T3	yes	greenhouse	LD	9x9	23659	30	5
1.6	T3	yes	greenhouse	LD	9x9	23659	34	4
1.6	T3	yes	greenhouse	LD	9x9	23659	27	5
1.6	T3	yes	greenhouse	LD	9x9	23659	27	5
1.6	T3	yes	greenhouse	LD	9x9	23659	27	3
1.6	T3	yes	greenhouse	LD	9x9	23659	25	5
1.6	T3	yes	greenhouse	LD	9x9	23659	16	6
1.6	T3	yes	greenhouse	LD	9x9	23659	25	5
2.6	T3	yes	greenhouse	LD	9x9	23659	27	6
2.6	T3	yes	greenhouse	LD	9x9	23659	26	5
2.6	T3	yes	greenhouse	LD	9x9	23659	28	4
2.6	T3	yes	greenhouse	LD	9x9	23659	26	3
2.6	T3	yes	greenhouse	LD	9x9	23659	27	6
2.6	T3	yes	greenhouse	LD	9x9	23659	30	5
2.6	T3	yes	greenhouse	LD	9x9	23659	32	4
2.6	T3	yes	greenhouse	LD	9x9	23659	25	5
2.6	T3	yes	greenhouse	LD	9x9	23659	22	3
2.6	T3	yes	greenhouse	LD	9x9	23659	28	4
6.6	T3	yes	greenhouse	LD	9x9	23659	15	3
6.6	T3	yes	greenhouse	LD	9x9	23659	29	4
6.6	T3	yes	greenhouse	LD	9x9	23659	13	4
6.6	T3	yes	greenhouse	LD	9x9	23659	24	4
6.6	T3	yes	greenhouse	LD	9x9	23659	25	4
6.6	T3	yes	greenhouse	LD	9x9	23659	26	4
6.6	T3	yes	greenhouse	LD	9x9	23659	26	3
6.6	T3	yes	greenhouse	LD	9x9	23659	30	3
6.6	T3	yes	greenhouse	LD	9x9	23659	25	3
6.6	T3	yes	greenhouse	LD	9x9	23659	26	4
0T	NA	no	greenhouse	LD	7x7	27540	9	NA
0T	NA	no	greenhouse	LD	7x7	27540	7	3
0T	NA	no	greenhouse	LD	7x7	27540	6	2
0T	NA	no	greenhouse	LD	7x7	27540	10	NA
0T	NA	no	greenhouse	LD	7x7	27540	10	NA
0T	NA	no	greenhouse	LD	7x7	27540	8	3
0T	NA	no	greenhouse	LD	7x7	27540	9	3
0T	NA	no	greenhouse	LD	7x7	27540	8	4
0T	NA	no	greenhouse	LD	7x7	27540	8	3
0T	NA	no	greenhouse	LD	7x7	27540	8	3
2.15	T3	yes	greenhouse	LD	7x7	27540	14	5
2.15	T3	yes	greenhouse	LD	7x7	27540	14	5
2.15	T3	yes	greenhouse	LD	7x7	27540	14	5
2.15	T3	yes	greenhouse	LD	7x7	27540	16	5
2.15	T3	yes	greenhouse	LD	7x7	27540	18	5
2.15	T3	yes	greenhouse	LD	7x7	27540	15	5
2.15	T3	yes	greenhouse	LD	7x7	27540	16	5
2.15	T3	yes	greenhouse	LD	7x7	27540	17	5
2.15	T3	yes	greenhouse	LD	7x7	27540	17	5
2.15	T3	yes	greenhouse	LD	7x7	27540	16	4
4.27	T4	yes	greenhouse	LD	7x7	27540	14	5
4.27	T4	yes	greenhouse	LD	7x7	27540	18	5
4.27	T4	yes	greenhouse	LD	7x7	27540	17	5
4.27	T4	yes	greenhouse	LD	7x7	27540	20	5
4.27	T4	yes	greenhouse	LD	7x7	27540	16	3
4.27	T4	yes	greenhouse	LD	7x7	27540	17	4
4.27	T4	yes	greenhouse	LD	7x7	27540	17	4
4.27	T4	yes	greenhouse	LD	7x7	27540	19	5
4.27	T4	yes	greenhouse	LD	7x7	27540	19	5
4.27	T4	yes	greenhouse	LD	7x7	27540	18	4
2.15	T4	yes	greenhouse	LD	7x7	27540	14	3
2.15	T4	yes	greenhouse	LD	7x7	27540	16	5
2.15	T4	yes	greenhouse	LD	7x7	27540	16	4
2.15	T4	yes	greenhouse	LD	7x7	27540	15	5
2.15	T4	yes	greenhouse	LD	7x7	27540	14	5
2.15	T4	yes	greenhouse	LD	7x7	27540	14	5
2.15	T4	yes	greenhouse	LD	7x7	27540	16	5
2.15	T4	yes	greenhouse	LD	7x7	27540	13	5
2.15	T4	yes	greenhouse	LD	7x7	27540	13	4
2.15	T4	yes	greenhouse	LD	7x7	27540	13	5
2.15	T4	yes	greenhouse	LD	7x7	27540	14	5
2.15	T4	yes	greenhouse	LD	7x7	27540	16	4
2.15	T4	yes	greenhouse	LD	7x7	27540	15	5
2.15	T4	yes	greenhouse	LD	7x7	27540	15	4
2.15	T4	yes	greenhouse	LD	7x7	27540	16	4
2.15	T4	yes	greenhouse	LD	7x7	27540	12	4
2.15	T4	yes	greenhouse	LD	7x7	27540	16	5
2.15	T4	yes	greenhouse	LD	7x7	27540	17	5
2.15	T4	yes	greenhouse	LD	7x7	27540	16	4
2.15	T4	yes	greenhouse	LD	7x7	27540	14	4
ft.10	NA	no	greenhouse	LD	7x7	27540	23	5
ft.10	NA	no	greenhouse	LD	7x7	27540	24	7
ft.10	NA	no	greenhouse	LD	7x7	27540	24	6
ft.10	NA	no	greenhouse	LD	7x7	27540	27	7
