line	pheno_T1	rosette
0T	control	14
0T	control	14
0T	control	12
0T	control	13
0T	control	10
0T	control	10
0T	control	14
0T	control	11
0T	control	11
0T	control	11
ft-10	control	37
ft-10	control	43
ft-10	control	41
ft-10	control	40
ft-10	control	47
ft-10	control	39
ft-10	control	34
ft-10	control	33
ft-10	control	40
ft-10	control	43
1-2	WT	22
1-2	WT	23
1-2	WT	26
1-2	WT	28
1-2	WT	26
1-2	WT	26
1-2	WT	23
1-2	WT	22
1-2	WT	23
1-2	WT	23
21-4	WT	25
21-4	WT	25
21-4	WT	23
21-4	WT	21
21-4	WT	25
21-4	WT	27
21-4	WT	27
21-4	WT	26
21-4	WT	26
21-4	WT	26
45-1	late	26
45-1	late	26
45-1	late	27
45-1	late	26
45-1	late	25
45-1	late	25
45-1	late	26
45-1	late	24
45-1	late	28
45-1	late	21
47-10	late	28
47-10	late	34
47-10	late	33
47-10	late	25
47-10	late	23
47-10	late	24
47-10	late	30
47-10	late	29
47-10	late	29
47-10	late	22
27-4	control	21
27-4	control	24
27-4	control	25
27-4	control	18
27-4	control	20
27-4	control	22
27-4	control	20
27-4	control	25
27-4	control	26
27-4	control	22
27-4	control	28
27-4	control	20
27-4	control	22
