line	generation	ratio
0T	T3	1
2.15	T3	0.086170229
3.15	T3	0.733736182
3.27	T3	0.930879716
4.27	T3	0.029022857
0T	T3	1
2.15	T3	0.147288598
3.15	T3	0.982828099
3.27	T3	0.646398988
4.27	T3	0.13303101
0T	T3	1
2.15	T3	0.438302861
3.15	T3	0.545884132
3.27	T3	0.730353422
4.27	T3	0.209738944
0T	T5	1
2.15	T5	0.128348054
3.15	T5	0.568306944
3.27	T5	0.594179403
4.27	T5	0.125574923
0T	T5	1
2.15	T5	0.149891803
3.15	T5	0.592277809
3.27	T5	0.725638319
4.27	T5	0.030748178
0T	T5	1
2.15	T5	0.112073136
3.15	T5	1.460115372
3.27	T5	3.529590008
4.27	T5	0.200249628
