line	rosette
0T	18
0T	16
0T	15
0T	16
0T	16
0T	16
0T	17
0T	16
0T	16
0T	16
ft-10	33
ft-10	40
ft-10	40
ft-10	36
ft-10	42
ft-10	40
ft-10	39
ft-10	46
ft-10	38
ft-10	39
2-15-12-T5	36
2-15-12-T5	35
2-15-12-T5	30
2-15-12-T5	32
2-15-12-T5	33
2-15-12-T5	37
2-15-12-T5	37
2-15-12-T5	37
2-15-12-T5	36
2-15-12-T5	30
1-10	18
1-10	17
1-10	18
1-10	18
1-10	18
1-10	18
1-10	18
1-10	16
1-10	17
1-10	18
1-10	22
1-10	21
1-10	18
1-10	19
1-10	19
1-10	19
1-10	19
1-10	19
1-10	17
1-10	19
2-14	20
2-14	19
2-14	18
2-14	17
2-14	19
2-14	19
2-14	20
2-14	18
2-14	18
2-14	19
2-14	19
2-14	19
2-14	20
2-14	19
2-14	17
2-14	17
2-14	20
2-14	20
2-14	18
2-14	20
2-30	18
2-30	21
2-30	19
2-30	19
2-30	21
2-30	19
2-30	17
2-30	19
2-30	19
2-30	19
