line	rosette	cauline
0T	15	2
0T	16	3
0T	13	3
0T	18	3
0T	19	4
0T	18	3
0T	16	2
0T	20	5
0T	16	3
0T	14	2
0T	19	5
0T	17	3
C-15	29	5
C-15	26	5
C-15	29	6
C-15	31	5
C-15	27	6
C-15	29	5
C-15	31	6
C-15	31	7
C-15	28	6
C-15	30	6
C-15	29	6
C-15	29	5
E-16	29	5
E-16	21	6
E-16	26	6
E-16	29	6
E-16	25	6
E-16	28	7
E-16	29	6
E-16	32	7
E-16	29	5
E-16	29	6
E-16	25	6
E-16	34	0
E-16	27	6
E-18	31	6
E-18	30	7
E-18	27	7
E-18	27	6
E-18	24	5
E-18	28	7
E-18	21	3
E-18	27	7
E-18	27	8
E-18	24	6
E-27	36	7
E-27	28	6
E-27	25	6
E-27	32	6
E-27	31	8
E-27	27	6
E-27	24	5
E-27	26	6
E-27	32	7
E-27	30	7
E-27	29	8
E-27	27	7
E-29	33	7
E-29	24	6
E-29	34	8
E-29	34	8
E-29	25	6
E-29	33	7
E-29	21	5
E-29	27	6
E-29	28	6
E-29	32	7
E-29	24	5
ft-10	46	0
ft-10	50	11
ft-10	48	11
ft-10	50	11
ft-10	47	10
ft-10	52	9
ft-10	51	12
ft-10	51	10
ft-10	54	10
ft-10	46	11
ft-10	53	10
ft-10	47	11
