construct	parent	cross	rosette	cauline
ft-10	ft-10	ft-10	39	7
ft-10	ft-10	ft-10	40	9
ft-10	ft-10	ft-10	37	9
ft-10	ft-10	ft-10	35	9
ft-10	ft-10	ft-10	39	9
ft-10	ft-10	ft-10	38	11
ft-10	ft-10	ft-10	36	10
ft-10	ft-10	ft-10	36	10
0T	0T	0T	11	3
0T	0T	0T	11	3
0T	0T	0T	14	3
0T	0T	0T	12	3
0T	0T	0T	12	4
0T	0T	0T	12	3
0T	0T	0T	10	4
0T	0T	0T	10	3
Block_E	Block_E_18	Block_E_18	19	3
Block_E	Block_E_18	Block_E_18	18	4
Block_E	Block_E_18	Block_E_18	14	4
Block_E	Block_E_18	Block_E_18	17	5
Block_E	Block_E_18	Block_E_18	20	3
Block_E	Block_E_18	Block_E_18	16	5
Block_C	Block_C_27	Block_C_27	20	6
Block_C	Block_C_27	Block_C_27	23	5
Block_C	Block_C_27	Block_C_27	19	5
Block_C	Block_C_15	Block_C_15	17	5
Block_C	Block_C_15	Block_C_15	20	5
Block_C	Block_C_15	Block_C_15	19	5
Block_C	Block_C_15	Block_C_15	27	5
Block_C	Block_C_15	Block_C_15	10	3
Block_C	Block_C_15	Block_C_15	20	5
Block_C	Block_C_15	Block_C_15	19	5
Block_C	Block_C_15	Block_C_15	18	5
Block_E	Block_E_16	Block_E_16	16	5
Block_E	Block_E_16	Block_E_16	16	4
Block_E	Block_E_16	Block_E_16	18	5
Block_E	Block_E_16	Block_E_16	18	5
Block_E	Block_E_16	Block_E_16	16	4
Block_ExCol-0	Col-0xBlock_E_18	Col-0xBlock_E_18	16	3
Block_ExCol-0	Col-0xBlock_E_18	Col-0xBlock_E_18	16	6
Block_ExCol-0	Col-0xBlock_E_18	Col-0xBlock_E_18	18	6
Block_ExCol-0	Col-0xBlock_E_18	Col-0xBlock_E_18	18	10
Block_ExCol-0	Col-0xBlock_E_18	Col-0xBlock_E_18	19	4
Block_ExCol-0	Col-0xBlock_E_18	Col-0xBlock_E_18	17	4
Block_CxCol-0	Col-0xBlock_C_27	Col-0xBlock_C_27	11	3
Block_CxCol-0	Col-0xBlock_C_27	Col-0xBlock_C_27	17	5
Block_CxCol-0	Col-0xBlock_C_27	Col-0xBlock_C_27	16	5
Block_CxCol-0	Col-0xBlock_C_27	Col-0xBlock_C_27	17	5
Block_CxCol-0	Col-0xBlock_C_27	Col-0xBlock_C_27	16	5
Block_CxCol-0	Col-0xBlock_C_27	Col-0xBlock_C_27	9	3
Block_CxCol-0	Col-0xBlock_C_15	Col-0xBlock_C_15	18	4
Block_CxCol-0	Col-0xBlock_C_15	Col-0xBlock_C_15	16	4
